Directory,File,Id
/storage/Barba_Lux_2017/,A-LIFE_20170814_212147_161_1.wav,Pippyg
/storage/Barba_Lux_2017/,A-LIFE_20170814_212147_161_2.wav,Pippyg
/storage/Barba_Lux_2017/,A-LIFE_20170814_212703_655_1.wav,Myosp
/storage/Barba_Lux_2017/,A-LIFE_20170814_212703_655_2.wav,Myosp
/storage/Barba_Lux_2017/,A-LIFE_20170814_213238_720_1.wav,Myosp
/storage/Barba_Lux_2017/,A-LIFE_20170814_213238_720_2.wav,Myosp
/storage/Barba_Lux_2017/,A-LIFE_20170814_213243_720_1.wav,Myosp
/storage/Barba_Lux_2017/,A-LIFE_20170814_213243_720_2.wav,Myosp
/storage/Barba_Lux_2017/,A-LIFE_20170814_213248_720_1.wav,Myosp
/storage/Barba_Lux_2017/,A-LIFE_20170814_213248_720_2.wav,Myosp
/storage/Barba_Lux_2017/,A-LIFE_20170814_225523_254_1.wav,PippiT
/storage/Barba_Lux_2017/,A-LIFE_20170814_225523_254_2.wav,PippiT
/storage/Barba_Lux_2017/,A-LIFE_20170814_225548_254_1.wav,Pip35
/storage/Barba_Lux_2017/,A-LIFE_20170814_225548_254_2.wav,Pip35
/storage/Barba_Lux_2017/,A-LIFE_20170816_211057_174_1.wav,PippiT
/storage/Barba_Lux_2017/,A-LIFE_20170816_211057_174_2.wav,PippiT
/storage/Barba_Lux_2017/,A-LIFE_20170816_212718_762_1.wav,Pipnat
/storage/Barba_Lux_2017/,A-LIFE_20170816_212718_762_2.wav,Pipnat
/storage/Barba_Lux_2017/,A-LIFE_20170816_212723_762_1.wav,Pipnat
/storage/Barba_Lux_2017/,A-LIFE_20170816_212723_762_2.wav,Pipnat
/storage/Barba_Lux_2017/,A-LIFE_20170816_213643_847_1.wav,ENVsp
/storage/Barba_Lux_2017/,A-LIFE_20170816_213643_847_2.wav,ENVsp
/storage/Barba_Lux_2017/,A-LIFE_20170816_213648_847_1.wav,ENVsp
/storage/Barba_Lux_2017/,A-LIFE_20170816_213648_847_2.wav,ENVsp
/storage/Barba_Lux_2017/,A-LIFE_20170816_213653_847_1.wav,Eptser
/storage/Barba_Lux_2017/,A-LIFE_20170816_213653_847_2.wav,Eptser
/storage/Barba_Lux_2017/,A-LIFE_20170816_213658_847_1.wav,ENVsp
/storage/Barba_Lux_2017/,A-LIFE_20170816_213658_847_2.wav,ENVsp
/storage/Barba_Lux_2017/,A-LIFE_20170816_214836_823_1.wav,Eptser
/storage/Barba_Lux_2017/,A-LIFE_20170816_214836_823_2.wav,Eptser
/storage/Barba_Lux_2017/,A-LIFE_20170816_220440_313_1.wav,PippiT
/storage/Barba_Lux_2017/,A-LIFE_20170816_220440_313_2.wav,PippiT
/storage/Barba_Lux_2017/,A-LIFE_20170819_221305_833_1.wav,Nycnoc
/storage/Barba_Lux_2017/,A-LIFE_20170819_221305_833_2.wav,Nycnoc
/storage/Barba_Lux_2017/,A-LIFE_20170819_221310_833_1.wav,Nycnoc
/storage/Barba_Lux_2017/,A-LIFE_20170819_221310_833_2.wav,Nycnoc
/storage/Barba_Lux_2017/,A-LIFE_20170819_230012_384_1.wav,PippiT
/storage/Barba_Lux_2017/,A-LIFE_20170819_230012_384_2.wav,PippiT
/storage/Barba_Lux_2017/,A-LIFE_20170819_230216_122_1.wav,PippiT
/storage/Barba_Lux_2017/,A-LIFE_20170819_230216_122_2.wav,PippiT
/storage/Barba_Lux_2017/,A-LIFE_20170819_232542_862_1.wav,PippiT
/storage/Barba_Lux_2017/,A-LIFE_20170819_232542_862_2.wav,PippiT
/storage/Barba_Lux_2017/,A-LIFE_20170819_234039_385_1.wav,Myodau
/storage/Barba_Lux_2017/,A-LIFE_20170819_234039_385_2.wav,Myodau
/storage/Barba_Lux_2017/,A-LIFE_20170820_005106_837_1.wav,PippiT
/storage/Barba_Lux_2017/,A-LIFE_20170820_005106_837_2.wav,PippiT
/storage/Barba_Lux_2017/,C-LIFE_0_20170814_205908_965_1.wav,PippiT
/storage/Barba_Lux_2017/,C-LIFE_0_20170814_205908_965_2.wav,PippiT
/storage/Barba_Lux_2017/,C-LIFE_0_20170814_213835_809_1.wav,Myomys
/storage/Barba_Lux_2017/,C-LIFE_0_20170814_213835_809_2.wav,Myomys
/storage/Barba_Lux_2017/,C-LIFE_0_20170814_214038_897_1.wav,Myomys
/storage/Barba_Lux_2017/,C-LIFE_0_20170814_214038_897_2.wav,Myomys
/storage/Barba_Lux_2017/,C-LIFE_0_20170814_223112_057_1.wav,Pippyg
/storage/Barba_Lux_2017/,C-LIFE_0_20170814_223112_057_2.wav,Pippyg
/storage/Barba_Lux_2017/,C-LIFE_0_20170814_235031_995_1.wav,Eptser
/storage/Barba_Lux_2017/,C-LIFE_0_20170814_235031_995_2.wav,Eptser
/storage/Barba_Lux_2017/,C-LIFE_0_20170815_003148_747_1.wav,Myosp
/storage/Barba_Lux_2017/,C-LIFE_0_20170815_003148_747_2.wav,Myosp
/storage/Barba_Lux_2017/,C-LIFE_0_20170815_003936_085_1.wav,Myosp
/storage/Barba_Lux_2017/,C-LIFE_0_20170815_003936_085_2.wav,Myosp
/storage/Barba_Lux_2017/,C-LIFE_0_20170815_015449_868_1.wav,Myomys
/storage/Barba_Lux_2017/,C-LIFE_0_20170815_015449_868_2.wav,Myomys
/storage/Barba_Lux_2017/,C-LIFE_0_20170815_021447_983_1.wav,Plesp
/storage/Barba_Lux_2017/,C-LIFE_0_20170815_021447_983_2.wav,Plesp
/storage/Barba_Lux_2017/,C-LIFE_0_20170815_021839_242_1.wav,Pipnat
/storage/Barba_Lux_2017/,C-LIFE_0_20170815_021839_242_2.wav,Pipnat
/storage/Barba_Lux_2017/,C-LIFE_0_20170815_021323_045_1.wav,Plesp
/storage/Barba_Lux_2017/,C-LIFE_0_20170815_021323_045_2.wav,Plesp
/storage/Barba_Lux_2017/,C-LIFE_0_20170815_023916_181_1.wav,Eptser
/storage/Barba_Lux_2017/,C-LIFE_0_20170815_023916_181_2.wav,Eptser
/storage/Barba_Lux_2017/,D-BARBA_20170515_222329_315_1.wav,Myosp
/storage/Barba_Lux_2017/,D-BARBA_20170515_222329_315_2.wav,Myosp
/storage/Barba_Lux_2017/,D-BARBA_20170515_224344_653_1.wav,Myodau
/storage/Barba_Lux_2017/,D-BARBA_20170515_224344_653_2.wav,Myodau
/storage/Barba_Lux_2017/,D-BARBA_20170516_022409_517_1.wav,Myomys
/storage/Barba_Lux_2017/,D-BARBA_20170516_022409_517_2.wav,Myomys
/storage/Barba_Lux_2017/,D-BARBA_20170515_235518_871_1.wav,PippiT
/storage/Barba_Lux_2017/,D-BARBA_20170515_235518_871_2.wav,PippiT
/storage/Barba_Lux_2017/,D-BARBA_20170618_021453_640_1.wav,Myosp
/storage/Barba_Lux_2017/,D-BARBA_20170618_021453_640_2.wav,Myosp
/storage/Barba_Lux_2017/,D-BARBA_20170618_031604_285_1.wav,Myomys
/storage/Barba_Lux_2017/,D-BARBA_20170618_031604_285_2.wav,Myomys
/storage/Barba_Lux_2017/,D-BARBA_20170618_040605_871_1.wav,Myomys
/storage/Barba_Lux_2017/,D-BARBA_20170618_040605_871_2.wav,Myomys
/storage/Barba_Lux_2017/,H-BARBA_20170520_222445_000_1.wav,PippiT
/storage/Barba_Lux_2017/,H-BARBA_20170520_222445_000_2.wav,PippiT
/storage/Barba_Lux_2018/,G-BARBA_20180707_221641_002_1.wav,PippiT
/storage/Barba_Lux_2018/,G-BARBA_20180707_221641_002_2.wav,PippiT
/storage/Barba_Lux_2018/,G-BARBA_20180707_231135_002_1.wav,Myobec
/storage/Barba_Lux_2018/,G-BARBA_20180707_231135_002_2.wav,Myobec
/storage/Barba_Lux_2018/,G-BARBA_20180707_231140_002_1.wav,Myosp
/storage/Barba_Lux_2018/,G-BARBA_20180707_231140_002_2.wav,Myosp
/storage/Barba_Lux_2018/,G-BARBA_20180708_004222_002_1.wav,Myomyo
/storage/Barba_Lux_2018/,G-BARBA_20180708_004222_002_2.wav,Myomyo
/storage/Barba_Lux_2018/,G-BARBA_20180708_004227_002_1.wav,Myomyo
/storage/Barba_Lux_2018/,G-BARBA_20180708_004227_002_2.wav,Myomyo
/storage/Barba_Lux_2018/,G-BARBA_20180708_225034_002_1.wav,Myosp
/storage/Barba_Lux_2018/,G-BARBA_20180708_225034_002_2.wav,Myosp
/storage/Barba_Lux_2018/,G-BARBA_20180708_231521_002_1.wav,PippiT
/storage/Barba_Lux_2018/,G-BARBA_20180708_231521_002_2.wav,PippiT
/storage/Barba_Lux_2018/,G-BARBA_20180709_013038_002_1.wav,Plesp
/storage/Barba_Lux_2018/,G-BARBA_20180709_013038_002_2.wav,Plesp
/storage/Barba_Lux_2018/,G-BARBA_20180709_013043_002_1.wav,Plesp
/storage/Barba_Lux_2018/,G-BARBA_20180709_013043_002_2.wav,Plesp
/storage/Barba_Lux_2018/,G-BARBA_20180709_035534_002_1.wav,PippiT
/storage/Barba_Lux_2018/,G-BARBA_20180709_035534_002_2.wav,PippiT
/storage/Barba_Lux_2018/,G-BARBA_20180709_045141_002_1.wav,Myosp
/storage/Barba_Lux_2018/,G-BARBA_20180709_045141_002_2.wav,Myosp
/storage/Barba_Lux_2018/,H-BARBA_20180707_230322_002_1.wav,PippiT
/storage/Barba_Lux_2018/,H-BARBA_20180707_230322_002_2.wav,PippiT
/storage/Barba_Lux_2018/,H-BARBA_20180708_002227_002_1.wav,Pleaus
/storage/Barba_Lux_2018/,H-BARBA_20180708_002227_002_2.wav,Pleaus
/storage/Barba_Lux_2018/,H-BARBA_20180708_002232_002_1.wav,Pleaus
/storage/Barba_Lux_2018/,H-BARBA_20180708_002232_002_2.wav,Pleaus
/storage/Barba_Lux_2018/,H-BARBA_20180708_021037_002_1.wav,Plesp
/storage/Barba_Lux_2018/,H-BARBA_20180708_021037_002_2.wav,Plesp
